E	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5

V	µA	µA	µA	µA	µA	µA	µA	µA	µA	µA

-0.20004	-22.86434	-8.13007	-8.13007	-5.79357	-10.89573	-6.93798	-6.8903		-6.46114	-6.98566	-6.65188
-0.19004	-13.66138	-4.69685	-4.69685	-3.21865	-6.36578	-3.93391	-3.88622	-3.60012	-3.93391	-3.74317
-0.18004	-9.94205	-3.21865	-3.21865	-2.12193	-4.50611	-2.64645	-2.64645	-2.40803	-2.69413	-2.5034
-0.17004	-7.79629	-2.36034	-2.36034	-1.50204	-3.40939	-1.93119	-1.93119	-1.74046	-1.93119	-1.78814
-0.16004	-6.41346	-1.83582	-1.83582	-1.07288	-2.69413	-1.45435	-1.40667	-1.26362	-1.45435	-1.3113
-0.15004	-5.4121		-1.40667	-1.40667	-0.7391		-2.12193	-1.07288	-1.0252		-0.88215	-1.07288	-0.97752
-0.14004	-4.60148	-1.07288	-1.07288	-0.50068	-1.74046	-0.78678	-0.7391		-0.64373	-0.78678	-0.69141
-0.13004	-3.98159	-0.78678	-0.78678	-0.26226	-1.40667	-0.54836	-0.54836	-0.40531	-0.54836	-0.50068
-0.12004	-3.45707	-0.54836	-0.54836	-0.11921	-1.07288	-0.30994	-0.30994	-0.26226	-0.35763	-0.26226
-0.11004	-3.02792	-0.35763	-0.35763	0.07153		-0.83447	-0.16689	-0.11921	-0.07153	-0.16689	-0.11921
-0.10004	-2.64645	-0.16689	-0.16689	0.16689	-0.59605	-0.02384	0.02384	0.07153	-0.02384	0.02384
-0.09004	-2.26498	0.02384	0.02384	0.26226	-0.40531	0.16689	0.16689	0.21458	0.11921	0.16689
-0.08004	-1.97887	0.16689	0.16689	0.40531	-0.21458	0.26226	0.30994	0.35763	0.26226	0.26226
-0.07004	-1.64509	0.30994	0.30994	0.50068	-0.02384	0.40531	0.40531	0.453	0.40531	0.40531
-0.06012	-1.40667	0.453	0.453	0.59605	0.11921	0.54836	0.54836	0.54836	0.50068	0.50068
-0.05012	-1.12057	0.59605	0.59605	0.64373	0.30994	0.64373	0.64373	0.64373	0.64373	0.59605
-0.04012	-0.83447	0.69141	0.69141	0.7391	0.50068	0.78678	0.78678	0.7391	0.7391	0.7391
-0.03012	-0.59605	0.83447	0.83447	0.83447	0.64373	0.88215	0.88215	0.88215	0.88215	0.83447
-0.02012	-0.30994	0.97752	0.97752	0.92983	0.83447	0.97752	0.97752	0.97752	0.92983	0.97752
-0.01012	-0.07153	1.12057	1.12057	0.97752	0.97752	1.07288	1.07288	1.07288	1.07288	1.07288
-1.17302E-4	0.21458	1.21593	1.21593	1.12057	1.16825	1.21593	1.21593	1.16825	1.16825	1.16825
0.00988	0.453	1.35899	1.35899	1.16825	1.3113	1.3113	1.26362	1.26362	1.3113	1.26362
0.01988	0.69141	1.45435	1.45435	1.26362	1.45435	1.40667	1.40667	1.35899	1.40667	1.40667
0.02988	0.92983	1.5974	1.5974	1.40667	1.64509	1.54972	1.50204	1.50204	1.54972	1.50204
0.03988	1.21593	1.74046	1.74046	1.50204	1.78814	1.69277	1.64509	1.5974	1.69277	1.64509
0.04988	1.50204	1.88351	1.88351	1.64509	1.97887	1.83582	1.78814	1.78814	1.83582	1.83582
0.05988	1.74046	2.02656	2.02656	1.83582	2.21729	2.02656	1.97887	1.97887	2.07424	2.02656
0.06988	2.02656	2.21729	2.21729	2.07424	2.40803	2.21729	2.16961	2.16961	2.26498	2.26498
0.07981	2.36034	2.45571	2.45571	2.31266	2.69413	2.5034	2.45571	2.45571	2.55108	2.55108
0.0898	2.69413	2.74181	2.74181	2.59876	3.02792	2.7895	2.74181	2.7895	2.93255	2.88486
0.0998	3.0756	3.0756	3.0756	2.93255	3.40939	3.26633	3.17097	3.17097	3.3617	3.31402
0.10981	3.55244	3.45707	3.45707	3.3617	3.93391	3.74317	3.6478	3.69549	3.88622	3.83854
0.11981	4.07696	3.98159	3.98159	3.88622	4.55379	4.31538	4.22001	4.26769	4.50611	4.45843
0.12981	4.79221	4.55379	4.55379	4.50611	5.36442	5.07832	4.98295	5.03063	5.31673	5.22137
0.1398	5.65052	5.36442	5.36442	5.26905	6.36578	5.98431	5.88894	5.93662	6.31809	6.22272
0.14981	6.74725	6.31809	6.31809	6.22272	7.60555	7.12872	7.03335	7.08103	7.55787	7.41482
0.15981	8.13007	7.4625	7.4625	7.31945	9.17912	8.51154	8.46386	8.51154	9.08375	8.89301
0.16981	9.89437	8.9407	8.9407	8.79765	11.13415	10.27584	10.22816	10.27584	10.94341	10.75268
