mode,V_start,V_end,window_V,n_points,n_features,n_components,R2_LOO,RMSE_LOO,composite,V_selected
I,0.5,0.72,0.22,4,4,2,0.90901,0.4332,0.9069,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6495), np.float64(0.7195)]"
both,0.5,0.75,0.25,2,4,2,0.90896,0.43333,0.90686,"[np.float64(0.4996), np.float64(0.7495)]"
both,0.6,0.8,0.2,5,10,2,0.90893,0.43341,0.90683,"[np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495), np.float64(0.7994)]"
both,0.55,0.76,0.21,4,8,2,0.90875,0.43382,0.90669,"[np.float64(0.5496), np.float64(0.6196), np.float64(0.6895), np.float64(0.7595)]"
both,0.55,0.76,0.21,2,4,2,0.90855,0.43429,0.90653,"[np.float64(0.5496), np.float64(0.7595)]"
I,0.4,0.76,0.36,4,4,3,0.90852,0.43436,0.9065,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6396), np.float64(0.7595)]"
both,0.55,0.76,0.21,5,10,2,0.90827,0.43496,0.9063,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.7095), np.float64(0.7595)]"
both,0.5,0.71,0.21,3,6,2,0.90825,0.43501,0.90628,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.7095)]"
both,0.45,0.7,0.25,2,4,2,0.90798,0.43566,0.90606,"[np.float64(0.4496), np.float64(0.6995)]"
I,0.4,0.77,0.37,5,5,3,0.90795,0.43572,0.90604,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5796), np.float64(0.6795), np.float64(0.7695)]"
both,0.5,0.75,0.25,5,10,2,0.9079,0.43583,0.906,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6895), np.float64(0.7495)]"
I,0.45,0.74,0.29,3,3,3,0.90778,0.43612,0.9059,"[np.float64(0.4496), np.float64(0.5896), np.float64(0.7395)]"
dIdV,0.6,0.8,0.2,2,2,1,0.90778,0.43612,0.9059,"[np.float64(0.5996), np.float64(0.7994)]"
both,0.5,0.73,0.23,3,6,2,0.90775,0.4362,0.90587,"[np.float64(0.4996), np.float64(0.6196), np.float64(0.7295)]"
both,0.55,0.79,0.24,2,4,3,0.90771,0.43629,0.90585,"[np.float64(0.5496), np.float64(0.7894)]"
I,0.5,0.72,0.22,5,5,2,0.90712,0.43768,0.90537,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6595), np.float64(0.7195)]"
I,0.5,0.77,0.27,5,5,2,0.90703,0.4379,0.90529,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.6995), np.float64(0.7695)]"
I,0.5,0.71,0.21,2,2,2,0.90694,0.43811,0.90522,"[np.float64(0.4996), np.float64(0.7095)]"
both,0.5,0.72,0.22,3,6,2,0.90689,0.43822,0.90518,"[np.float64(0.4996), np.float64(0.6096), np.float64(0.7195)]"
both,0.5,0.7,0.2,2,4,2,0.90671,0.43864,0.90504,"[np.float64(0.4996), np.float64(0.6995)]"
I,0.55,0.76,0.21,3,3,2,0.90665,0.43879,0.90499,"[np.float64(0.5496), np.float64(0.6495), np.float64(0.7595)]"
both,0.4,0.75,0.35,6,12,2,0.90647,0.43922,0.90484,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6096), np.float64(0.6795), np.float64(0.7495)]"
both,0.55,0.77,0.22,5,10,2,0.90645,0.43925,0.90483,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6595), np.float64(0.7095), np.float64(0.7695)]"
both,0.5,0.76,0.26,6,12,2,0.90637,0.43944,0.90476,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6595), np.float64(0.7095), np.float64(0.7595)]"
I,0.5,0.72,0.22,6,6,2,0.90587,0.44061,0.90436,"[np.float64(0.4996), np.float64(0.5396), np.float64(0.5896), np.float64(0.6296), np.float64(0.6795), np.float64(0.7195)]"
I,0.55,0.77,0.22,4,4,2,0.90574,0.44091,0.90425,"[np.float64(0.5496), np.float64(0.6196), np.float64(0.6995), np.float64(0.7695)]"
both,0.45,0.69,0.24,4,8,2,0.90574,0.44092,0.90425,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6096), np.float64(0.6895)]"
dIdV,0.4,0.8,0.4,5,5,2,0.90562,0.44119,0.90416,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5996), np.float64(0.6995), np.float64(0.7994)]"
both,0.45,0.75,0.3,6,12,2,0.90554,0.44139,0.90409,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6296), np.float64(0.6895), np.float64(0.7495)]"
both,0.4,0.68,0.28,4,8,2,0.90548,0.44152,0.90404,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5896), np.float64(0.6795)]"
both,0.4,0.73,0.33,5,10,3,0.90522,0.44214,0.90383,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6495), np.float64(0.7295)]"
both,0.4,0.71,0.31,2,4,3,0.90505,0.44253,0.90369,"[np.float64(0.3996), np.float64(0.7095)]"
both,0.55,0.76,0.21,3,6,2,0.90493,0.44281,0.9036,"[np.float64(0.5496), np.float64(0.6495), np.float64(0.7595)]"
both,0.5,0.7,0.2,4,8,2,0.90488,0.44293,0.90356,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6296), np.float64(0.6995)]"
both,0.45,0.74,0.29,2,4,2,0.90487,0.44294,0.90355,"[np.float64(0.4496), np.float64(0.7395)]"
both,0.55,0.75,0.2,2,4,2,0.90484,0.44301,0.90353,"[np.float64(0.5496), np.float64(0.7495)]"
both,0.45,0.79,0.34,2,4,3,0.90474,0.44325,0.90344,"[np.float64(0.4496), np.float64(0.7894)]"
I,0.5,0.71,0.21,3,3,2,0.90461,0.44357,0.90334,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.7095)]"
both,0.5,0.75,0.25,6,12,2,0.90458,0.44363,0.90331,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495)]"
both,0.55,0.78,0.23,2,4,2,0.90444,0.44394,0.9032,"[np.float64(0.5496), np.float64(0.7795)]"
I,0.55,0.78,0.23,6,6,2,0.90422,0.44446,0.90303,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6396), np.float64(0.6895), np.float64(0.7295), np.float64(0.7795)]"
I,0.45,0.74,0.29,5,5,3,0.90411,0.44472,0.90293,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6695), np.float64(0.7395)]"
both,0.4,0.69,0.29,5,10,2,0.90399,0.44499,0.90284,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6196), np.float64(0.6895)]"
I,0.55,0.8,0.25,6,6,3,0.90389,0.44522,0.90276,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495), np.float64(0.7994)]"
both,0.5,0.74,0.24,2,4,2,0.90368,0.44571,0.90259,"[np.float64(0.4996), np.float64(0.7395)]"
both,0.45,0.7,0.25,4,8,2,0.90366,0.44577,0.90257,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6196), np.float64(0.6995)]"
I,0.45,0.76,0.31,6,6,2,0.90347,0.4462,0.90242,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6396), np.float64(0.6995), np.float64(0.7595)]"
I,0.6,0.8,0.2,6,6,2,0.90294,0.44741,0.902,"[np.float64(0.5996), np.float64(0.6396), np.float64(0.6795), np.float64(0.7195), np.float64(0.7595), np.float64(0.7994)]"
I,0.55,0.8,0.25,5,5,3,0.90248,0.44848,0.90162,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6695), np.float64(0.7395), np.float64(0.7994)]"
both,0.4,0.68,0.28,5,10,2,0.90244,0.44857,0.90159,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6096), np.float64(0.6795)]"
both,0.45,0.72,0.27,3,6,3,0.90235,0.44877,0.90152,"[np.float64(0.4496), np.float64(0.5896), np.float64(0.7195)]"
I,0.45,0.71,0.26,2,2,2,0.90216,0.44922,0.90136,"[np.float64(0.4496), np.float64(0.7095)]"
I,0.55,0.79,0.24,6,6,3,0.90215,0.44923,0.90136,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6895), np.float64(0.7395), np.float64(0.7894)]"
dIdV,0.5,0.8,0.3,4,4,2,0.90191,0.4498,0.90116,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.6995), np.float64(0.7994)]"
both,0.45,0.76,0.31,5,10,2,0.90187,0.44989,0.90113,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6096), np.float64(0.6795), np.float64(0.7595)]"
I,0.5,0.71,0.21,4,4,2,0.90181,0.45002,0.90108,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.7095)]"
both,0.45,0.7,0.25,3,6,2,0.90173,0.4502,0.90102,"[np.float64(0.4496), np.float64(0.5696), np.float64(0.6995)]"
I,0.5,0.76,0.26,3,3,2,0.90161,0.45048,0.90092,"[np.float64(0.4996), np.float64(0.6296), np.float64(0.7595)]"
dIdV,0.4,0.69,0.29,4,4,2,0.90137,0.45103,0.90073,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5896), np.float64(0.6895)]"
both,0.6,0.8,0.2,6,12,2,0.90126,0.45128,0.90064,"[np.float64(0.5996), np.float64(0.6396), np.float64(0.6795), np.float64(0.7195), np.float64(0.7595), np.float64(0.7994)]"
I,0.4,0.74,0.34,5,5,3,0.90122,0.45136,0.90061,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5696), np.float64(0.6595), np.float64(0.7395)]"
both,0.55,0.75,0.2,5,10,2,0.90116,0.45152,0.90056,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495)]"
both,0.5,0.71,0.21,4,8,2,0.9011,0.45164,0.90051,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.7095)]"
both,0.45,0.76,0.31,4,8,2,0.90109,0.45167,0.9005,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6595), np.float64(0.7595)]"
both,0.4,0.75,0.35,5,10,2,0.90101,0.45185,0.90044,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5796), np.float64(0.6595), np.float64(0.7495)]"
I,0.6,0.8,0.2,5,5,3,0.90076,0.45243,0.90024,"[np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495), np.float64(0.7994)]"
both,0.55,0.77,0.22,6,12,3,0.90071,0.45253,0.9002,"[np.float64(0.5496), np.float64(0.5896), np.float64(0.6396), np.float64(0.6795), np.float64(0.7295), np.float64(0.7695)]"
I,0.45,0.75,0.3,6,6,2,0.90051,0.453,0.90004,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6296), np.float64(0.6895), np.float64(0.7495)]"
I,0.5,0.71,0.21,5,5,2,0.90047,0.45309,0.90001,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6595), np.float64(0.7095)]"
I,0.45,0.74,0.29,6,6,3,0.90038,0.45328,0.89994,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6196), np.float64(0.6795), np.float64(0.7395)]"
both,0.6,0.8,0.2,4,8,2,0.90021,0.45368,0.8998,"[np.float64(0.5996), np.float64(0.6695), np.float64(0.7295), np.float64(0.7994)]"
I,0.55,0.79,0.24,5,5,3,0.90007,0.45398,0.89969,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6695), np.float64(0.7295), np.float64(0.7894)]"
both,0.45,0.73,0.28,2,4,2,0.90008,0.45397,0.89969,"[np.float64(0.4496), np.float64(0.7295)]"
both,0.4,0.68,0.28,6,12,2,0.89999,0.45418,0.89962,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5096), np.float64(0.5696), np.float64(0.6196), np.float64(0.6795)]"
I,0.55,0.78,0.23,5,5,2,0.89994,0.45428,0.89958,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6695), np.float64(0.7195), np.float64(0.7795)]"
both,0.4,0.69,0.29,6,12,2,0.89983,0.45454,0.89949,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5696), np.float64(0.6296), np.float64(0.6895)]"
both,0.55,0.76,0.21,6,12,2,0.89963,0.45498,0.89934,"[np.float64(0.5496), np.float64(0.5896), np.float64(0.6296), np.float64(0.6795), np.float64(0.7195), np.float64(0.7595)]"
I,0.45,0.77,0.32,6,6,2,0.8996,0.45505,0.89931,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5796), np.float64(0.6396), np.float64(0.7095), np.float64(0.7695)]"
I,0.45,0.75,0.3,3,3,2,0.89952,0.45525,0.89924,"[np.float64(0.4496), np.float64(0.5996), np.float64(0.7495)]"
I,0.4,0.71,0.31,2,2,2,0.89941,0.45547,0.89916,"[np.float64(0.3996), np.float64(0.7095)]"
I,0.5,0.7,0.2,2,2,2,0.89934,0.45563,0.89911,"[np.float64(0.4996), np.float64(0.6995)]"
I,0.55,0.8,0.25,4,4,3,0.89926,0.45582,0.89904,"[np.float64(0.5496), np.float64(0.6296), np.float64(0.7195), np.float64(0.7994)]"
both,0.4,0.74,0.34,6,12,2,0.89917,0.45603,0.89897,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.5996), np.float64(0.6695), np.float64(0.7395)]"
I,0.45,0.76,0.31,5,5,2,0.89916,0.45604,0.89896,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6096), np.float64(0.6795), np.float64(0.7595)]"
both,0.5,0.74,0.24,6,12,2,0.89912,0.45613,0.89893,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6396), np.float64(0.6895), np.float64(0.7395)]"
both,0.55,0.75,0.2,3,6,2,0.89909,0.45621,0.8989,"[np.float64(0.5496), np.float64(0.6495), np.float64(0.7495)]"
I,0.4,0.74,0.34,6,6,3,0.89907,0.45626,0.89889,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.5996), np.float64(0.6695), np.float64(0.7395)]"
both,0.45,0.69,0.24,5,10,2,0.89907,0.45625,0.89889,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6296), np.float64(0.6895)]"
both,0.45,0.7,0.25,5,10,2,0.89905,0.45631,0.89887,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6396), np.float64(0.6995)]"
I,0.5,0.71,0.21,6,6,2,0.89897,0.45649,0.8988,"[np.float64(0.4996), np.float64(0.5396), np.float64(0.5796), np.float64(0.6296), np.float64(0.6695), np.float64(0.7095)]"
both,0.5,0.78,0.28,2,4,2,0.89892,0.45658,0.89877,"[np.float64(0.4996), np.float64(0.7795)]"
I,0.6,0.8,0.2,4,4,3,0.89888,0.45669,0.89873,"[np.float64(0.5996), np.float64(0.6695), np.float64(0.7295), np.float64(0.7994)]"
I,0.5,0.77,0.27,4,4,2,0.89871,0.45706,0.8986,"[np.float64(0.4996), np.float64(0.5896), np.float64(0.6795), np.float64(0.7695)]"
both,0.4,0.71,0.31,6,12,3,0.89856,0.45741,0.89848,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5896), np.float64(0.6495), np.float64(0.7095)]"
I,0.45,0.75,0.3,4,4,2,0.89852,0.45749,0.89845,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6495), np.float64(0.7495)]"
both,0.5,0.73,0.23,2,4,2,0.8984,0.45776,0.89835,"[np.float64(0.4996), np.float64(0.7295)]"
both,0.45,0.75,0.3,4,8,2,0.89813,0.45838,0.89813,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6495), np.float64(0.7495)]"
both,0.45,0.74,0.29,4,8,2,0.89813,0.45838,0.89813,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6396), np.float64(0.7395)]"
both,0.45,0.71,0.26,4,8,3,0.89795,0.45878,0.89799,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6196), np.float64(0.7095)]"
I,0.4,0.77,0.37,4,4,3,0.89794,0.45879,0.89798,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6495), np.float64(0.7695)]"
I,0.55,0.79,0.24,4,4,3,0.89788,0.45895,0.89793,"[np.float64(0.5496), np.float64(0.6296), np.float64(0.7095), np.float64(0.7894)]"
I,0.6,0.8,0.2,3,3,3,0.89781,0.45908,0.89788,"[np.float64(0.5996), np.float64(0.6995), np.float64(0.7994)]"
both,0.45,0.69,0.24,6,12,2,0.89757,0.45963,0.89769,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5896), np.float64(0.6396), np.float64(0.6895)]"
I,0.5,0.78,0.28,6,6,2,0.89757,0.45964,0.89768,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6695), np.float64(0.7195), np.float64(0.7795)]"
dIdV,0.6,0.8,0.2,4,4,3,0.89753,0.45973,0.89765,"[np.float64(0.5996), np.float64(0.6695), np.float64(0.7295), np.float64(0.7994)]"
I,0.45,0.76,0.31,4,4,2,0.89748,0.45983,0.89761,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6595), np.float64(0.7595)]"
dIdV,0.5,0.7,0.2,3,3,2,0.8971,0.46068,0.89731,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.6995)]"
both,0.4,0.67,0.27,5,10,2,0.89703,0.46084,0.89726,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.5996), np.float64(0.6695)]"
I,0.45,0.75,0.3,5,5,2,0.89703,0.46085,0.89725,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.5996), np.float64(0.6695), np.float64(0.7495)]"
both,0.45,0.78,0.33,2,4,2,0.89697,0.46098,0.89721,"[np.float64(0.4496), np.float64(0.7795)]"
both,0.45,0.72,0.27,2,4,2,0.89694,0.46105,0.89718,"[np.float64(0.4496), np.float64(0.7195)]"
both,0.5,0.71,0.21,2,4,2,0.89691,0.46112,0.89716,"[np.float64(0.4996), np.float64(0.7095)]"
both,0.45,0.7,0.25,6,12,2,0.89675,0.46147,0.89703,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995)]"
both,0.45,0.72,0.27,4,8,2,0.89657,0.46188,0.89689,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6296), np.float64(0.7195)]"
I,0.5,0.7,0.2,3,3,2,0.8964,0.46225,0.89675,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.6995)]"
I,0.55,0.78,0.23,4,4,3,0.89639,0.46227,0.89674,"[np.float64(0.5496), np.float64(0.6296), np.float64(0.6995), np.float64(0.7795)]"
both,0.5,0.7,0.2,5,10,2,0.89631,0.46244,0.89668,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995)]"
dIdV,0.4,0.7,0.3,4,4,2,0.89628,0.46252,0.89666,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5996), np.float64(0.6995)]"
dIdV,0.5,0.8,0.3,3,3,1,0.89623,0.46262,0.89662,"[np.float64(0.4996), np.float64(0.6495), np.float64(0.7994)]"
both,0.55,0.75,0.2,6,12,3,0.89609,0.46293,0.89651,"[np.float64(0.5496), np.float64(0.5896), np.float64(0.6296), np.float64(0.6695), np.float64(0.7095), np.float64(0.7495)]"
both,0.4,0.7,0.3,2,4,2,0.89602,0.46311,0.89644,"[np.float64(0.3996), np.float64(0.6995)]"
I,0.45,0.76,0.31,2,2,2,0.89595,0.46325,0.89639,"[np.float64(0.4496), np.float64(0.7595)]"
both,0.5,0.72,0.22,2,4,2,0.89558,0.46408,0.89609,"[np.float64(0.4996), np.float64(0.7195)]"
both,0.45,0.71,0.26,2,4,2,0.89539,0.4645,0.89595,"[np.float64(0.4496), np.float64(0.7095)]"
I,0.45,0.77,0.32,5,5,2,0.89536,0.46457,0.89592,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6096), np.float64(0.6895), np.float64(0.7695)]"
both,0.4,0.67,0.27,4,8,2,0.89528,0.46475,0.89586,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5796), np.float64(0.6695)]"
both,0.4,0.74,0.34,5,10,2,0.89487,0.46565,0.89553,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5696), np.float64(0.6595), np.float64(0.7395)]"
dIdV,0.4,0.8,0.4,3,3,2,0.89485,0.4657,0.89551,"[np.float64(0.3996), np.float64(0.5996), np.float64(0.7994)]"
both,0.55,0.75,0.2,4,8,3,0.89468,0.46607,0.89538,"[np.float64(0.5496), np.float64(0.6196), np.float64(0.6795), np.float64(0.7495)]"
both,0.5,0.76,0.26,4,8,2,0.89467,0.46609,0.89537,"[np.float64(0.4996), np.float64(0.5896), np.float64(0.6695), np.float64(0.7595)]"
dIdV,0.5,0.71,0.21,3,3,2,0.89408,0.4674,0.8949,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.7095)]"
both,0.45,0.73,0.28,4,8,2,0.89404,0.46749,0.89487,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6396), np.float64(0.7295)]"
I,0.45,0.76,0.31,3,3,2,0.89403,0.46751,0.89486,"[np.float64(0.4496), np.float64(0.6096), np.float64(0.7595)]"
both,0.5,0.72,0.22,4,8,2,0.89397,0.46765,0.89481,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6495), np.float64(0.7195)]"
I,0.5,0.7,0.2,4,4,2,0.89365,0.46834,0.89456,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6296), np.float64(0.6995)]"
I,0.4,0.76,0.36,3,3,3,0.89364,0.46836,0.89455,"[np.float64(0.3996), np.float64(0.5796), np.float64(0.7595)]"
both,0.5,0.74,0.24,4,8,3,0.8932,0.46933,0.8942,"[np.float64(0.4996), np.float64(0.5796), np.float64(0.6595), np.float64(0.7395)]"
both,0.45,0.71,0.26,5,10,2,0.89293,0.46994,0.89398,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5796), np.float64(0.6495), np.float64(0.7095)]"
dIdV,0.45,0.69,0.24,4,4,2,0.8928,0.47022,0.89388,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6096), np.float64(0.6895)]"
both,0.4,0.67,0.27,6,12,2,0.89279,0.47023,0.89388,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.5096), np.float64(0.5596), np.float64(0.6196), np.float64(0.6695)]"
both,0.5,0.73,0.23,4,8,2,0.89279,0.47023,0.89388,"[np.float64(0.4996), np.float64(0.5796), np.float64(0.6495), np.float64(0.7295)]"
both,0.5,0.71,0.21,5,10,2,0.89267,0.47051,0.89378,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6595), np.float64(0.7095)]"
dIdV,0.45,0.79,0.34,5,5,2,0.89263,0.47059,0.89375,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6196), np.float64(0.7095), np.float64(0.7894)]"
I,0.5,0.7,0.2,5,5,2,0.89262,0.4706,0.89374,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995)]"
I,0.55,0.77,0.22,3,3,2,0.89248,0.47091,0.89363,"[np.float64(0.5496), np.float64(0.6595), np.float64(0.7695)]"
both,0.4,0.72,0.32,6,12,2,0.89202,0.47193,0.89326,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5296), np.float64(0.5896), np.float64(0.6595), np.float64(0.7195)]"
dIdV,0.5,0.72,0.22,3,3,2,0.89202,0.47192,0.89326,"[np.float64(0.4996), np.float64(0.6096), np.float64(0.7195)]"
both,0.45,0.72,0.27,5,10,2,0.8919,0.47218,0.89317,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6495), np.float64(0.7195)]"
dIdV,0.45,0.8,0.35,5,5,2,0.89183,0.47234,0.89311,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6296), np.float64(0.7095), np.float64(0.7994)]"
dIdV,0.45,0.7,0.25,4,4,2,0.89182,0.47237,0.8931,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6196), np.float64(0.6995)]"
I,0.5,0.7,0.2,6,6,2,0.89163,0.47277,0.89295,"[np.float64(0.4996), np.float64(0.5396), np.float64(0.5796), np.float64(0.6196), np.float64(0.6595), np.float64(0.6995)]"
both,0.45,0.68,0.23,3,6,2,0.89152,0.47302,0.89286,"[np.float64(0.4496), np.float64(0.5696), np.float64(0.6795)]"
I,0.55,0.78,0.23,3,3,3,0.8915,0.47306,0.89285,"[np.float64(0.5496), np.float64(0.6695), np.float64(0.7795)]"
both,0.4,0.73,0.33,6,12,2,0.89137,0.47334,0.89275,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5296), np.float64(0.5996), np.float64(0.6595), np.float64(0.7295)]"
dIdV,0.5,0.73,0.23,3,3,2,0.89125,0.47361,0.89265,"[np.float64(0.4996), np.float64(0.6196), np.float64(0.7295)]"
both,0.45,0.71,0.26,6,12,2,0.89109,0.47396,0.89252,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.6096), np.float64(0.6595), np.float64(0.7095)]"
dIdV,0.4,0.7,0.3,5,5,2,0.89107,0.47399,0.89251,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5496), np.float64(0.6196), np.float64(0.6995)]"
dIdV,0.45,0.71,0.26,4,4,2,0.89102,0.47411,0.89247,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6196), np.float64(0.7095)]"
both,0.4,0.7,0.3,6,12,2,0.89101,0.47413,0.89246,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5796), np.float64(0.6396), np.float64(0.6995)]"
I,0.5,0.78,0.28,5,5,2,0.8909,0.47436,0.89238,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.7095), np.float64(0.7795)]"
I,0.45,0.73,0.28,3,3,2,0.89073,0.47473,0.89224,"[np.float64(0.4496), np.float64(0.5896), np.float64(0.7295)]"
I,0.55,0.79,0.24,3,3,3,0.89044,0.47536,0.89201,"[np.float64(0.5496), np.float64(0.6695), np.float64(0.7894)]"
both,0.45,0.71,0.26,3,6,2,0.89034,0.47557,0.89193,"[np.float64(0.4496), np.float64(0.5796), np.float64(0.7095)]"
both,0.45,0.72,0.27,6,12,2,0.89025,0.47576,0.89186,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6695), np.float64(0.7195)]"
both,0.45,0.75,0.3,5,10,2,0.8902,0.47587,0.89182,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.5996), np.float64(0.6695), np.float64(0.7495)]"
both,0.45,0.68,0.23,4,8,2,0.89007,0.47617,0.89171,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.5996), np.float64(0.6795)]"
both,0.45,0.74,0.29,6,12,2,0.89004,0.47623,0.89169,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6196), np.float64(0.6795), np.float64(0.7395)]"
dIdV,0.4,0.69,0.29,5,5,2,0.88993,0.47647,0.8916,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6196), np.float64(0.6895)]"
I,0.5,0.8,0.3,6,6,3,0.88976,0.47683,0.89147,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6795), np.float64(0.7395), np.float64(0.7994)]"
