mode,V_start,V_end,window_V,n_points,n_features,n_components,R2_LOO,RMSE_LOO,composite,V_selected
both,0.45,0.78,0.33,3,6,2,0.92152,0.40232,0.91715,"[np.float64(0.4496), np.float64(0.6096), np.float64(0.7795)]"
I,0.55,0.75,0.2,5,5,2,0.92149,0.40241,0.91712,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495)]"
both,0.4,0.77,0.37,5,10,2,0.92144,0.40253,0.91708,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5796), np.float64(0.6795), np.float64(0.7695)]"
both,0.45,0.73,0.28,3,6,3,0.92142,0.40257,0.91707,"[np.float64(0.4496), np.float64(0.5896), np.float64(0.7295)]"
both,0.6,0.8,0.2,2,4,2,0.9213,0.40288,0.91697,"[np.float64(0.5996), np.float64(0.7994)]"
both,0.4,0.8,0.4,2,4,3,0.92128,0.40294,0.91695,"[np.float64(0.3996), np.float64(0.7994)]"
both,0.5,0.78,0.28,4,8,2,0.92124,0.40304,0.91692,"[np.float64(0.4996), np.float64(0.5896), np.float64(0.6895), np.float64(0.7795)]"
both,0.5,0.79,0.29,3,6,2,0.9212,0.40314,0.91689,"[np.float64(0.4996), np.float64(0.6396), np.float64(0.7894)]"
I,0.55,0.75,0.2,6,6,2,0.92107,0.40346,0.91678,"[np.float64(0.5496), np.float64(0.5896), np.float64(0.6296), np.float64(0.6695), np.float64(0.7095), np.float64(0.7495)]"
I,0.55,0.75,0.2,4,4,2,0.92091,0.40389,0.91664,"[np.float64(0.5496), np.float64(0.6196), np.float64(0.6795), np.float64(0.7495)]"
both,0.4,0.8,0.4,4,8,2,0.92081,0.40413,0.91657,"[np.float64(0.3996), np.float64(0.5296), np.float64(0.6695), np.float64(0.7994)]"
I,0.5,0.74,0.24,2,2,2,0.92077,0.40425,0.91653,"[np.float64(0.4996), np.float64(0.7395)]"
I,0.4,0.74,0.34,3,3,3,0.92076,0.40426,0.91652,"[np.float64(0.3996), np.float64(0.5696), np.float64(0.7395)]"
both,0.5,0.78,0.28,3,6,2,0.92071,0.4044,0.91648,"[np.float64(0.4996), np.float64(0.6396), np.float64(0.7795)]"
I,0.45,0.73,0.28,2,2,2,0.92059,0.40469,0.91638,"[np.float64(0.4496), np.float64(0.7295)]"
both,0.4,0.71,0.31,5,10,3,0.92051,0.40491,0.91631,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6296), np.float64(0.7095)]"
both,0.45,0.77,0.32,5,10,2,0.91998,0.40625,0.91588,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6096), np.float64(0.6895), np.float64(0.7695)]"
both,0.55,0.78,0.23,4,8,2,0.91977,0.40677,0.91571,"[np.float64(0.5496), np.float64(0.6296), np.float64(0.6995), np.float64(0.7795)]"
both,0.4,0.8,0.4,5,10,2,0.9197,0.40697,0.91564,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5996), np.float64(0.6995), np.float64(0.7994)]"
I,0.55,0.76,0.21,6,6,2,0.91953,0.40739,0.91551,"[np.float64(0.5496), np.float64(0.5896), np.float64(0.6296), np.float64(0.6795), np.float64(0.7195), np.float64(0.7595)]"
both,0.55,0.78,0.23,3,6,1,0.91952,0.40741,0.9155,"[np.float64(0.5496), np.float64(0.6695), np.float64(0.7795)]"
both,0.45,0.8,0.35,2,4,3,0.91938,0.40777,0.91538,"[np.float64(0.4496), np.float64(0.7994)]"
both,0.55,0.79,0.24,4,8,2,0.91935,0.40785,0.91536,"[np.float64(0.5496), np.float64(0.6296), np.float64(0.7095), np.float64(0.7894)]"
I,0.5,0.75,0.25,6,6,2,0.9193,0.40798,0.91531,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495)]"
both,0.4,0.76,0.36,2,4,2,0.91927,0.40805,0.91529,"[np.float64(0.3996), np.float64(0.7595)]"
I,0.5,0.73,0.23,2,2,2,0.91927,0.40805,0.91529,"[np.float64(0.4996), np.float64(0.7295)]"
both,0.55,0.77,0.22,4,8,2,0.91914,0.40837,0.91519,"[np.float64(0.5496), np.float64(0.6196), np.float64(0.6995), np.float64(0.7695)]"
