V_start,V_end,window_V,n_points,n_components,R2_LOO,RMSE_LOO,composite,V_selected
0.45,0.69,0.24,4,2,0.80771,0.62976,0.82865,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6096), np.float64(0.6895)]"
0.4,0.72,0.32,6,2,0.80729,0.63045,0.82833,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5296), np.float64(0.5896), np.float64(0.6595), np.float64(0.7195)]"
0.45,0.69,0.24,5,2,0.80668,0.63145,0.82788,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6296), np.float64(0.6895)]"
0.4,0.68,0.28,2,2,0.8058,0.63288,0.82722,"[np.float64(0.3996), np.float64(0.6795)]"
0.4,0.6,0.2,6,3,0.80564,0.63314,0.8271,"[np.float64(0.3996), np.float64(0.4396), np.float64(0.4796), np.float64(0.5196), np.float64(0.5596), np.float64(0.5996)]"
0.45,0.69,0.24,6,2,0.80402,0.63578,0.8259,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5896), np.float64(0.6396), np.float64(0.6895)]"
0.4,0.77,0.37,2,2,0.80347,0.63666,0.82549,"[np.float64(0.3996), np.float64(0.7695)]"
0.4,0.79,0.39,3,2,0.80295,0.63751,0.8251,"[np.float64(0.3996), np.float64(0.5996), np.float64(0.7894)]"
0.4,0.6,0.2,5,3,0.80123,0.64028,0.82382,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5996)]"
0.4,0.71,0.31,3,2,0.79957,0.64296,0.82259,"[np.float64(0.3996), np.float64(0.5596), np.float64(0.7095)]"
0.55,0.78,0.23,2,1,0.79775,0.64586,0.82124,"[np.float64(0.5496), np.float64(0.7795)]"
0.4,0.71,0.31,4,2,0.79689,0.64724,0.8206,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.6096), np.float64(0.7095)]"
0.4,0.61,0.21,4,4,0.79543,0.64956,0.81952,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6096)]"
0.4,0.61,0.21,6,3,0.79505,0.65016,0.81924,"[np.float64(0.3996), np.float64(0.4396), np.float64(0.4796), np.float64(0.5296), np.float64(0.5696), np.float64(0.6096)]"
0.4,0.6,0.2,3,3,0.79272,0.65385,0.81751,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5996)]"
0.45,0.66,0.21,2,2,0.79234,0.65445,0.81723,"[np.float64(0.4496), np.float64(0.6595)]"
0.45,0.78,0.33,2,1,0.79206,0.65488,0.81703,"[np.float64(0.4496), np.float64(0.7795)]"
0.4,0.61,0.21,5,3,0.79043,0.65744,0.81582,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4996), np.float64(0.5596), np.float64(0.6096)]"
0.4,0.8,0.4,4,2,0.7893,0.65922,0.81498,"[np.float64(0.3996), np.float64(0.5296), np.float64(0.6695), np.float64(0.7994)]"
0.45,0.68,0.23,3,2,0.78608,0.66424,0.8126,"[np.float64(0.4496), np.float64(0.5696), np.float64(0.6795)]"
0.4,0.71,0.31,5,2,0.78308,0.66888,0.81039,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6296), np.float64(0.7095)]"
0.45,0.68,0.23,6,2,0.7807,0.67253,0.80864,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5396), np.float64(0.5896), np.float64(0.6296), np.float64(0.6795)]"
0.4,0.71,0.31,6,2,0.78025,0.67323,0.8083,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5896), np.float64(0.6495), np.float64(0.7095)]"
0.45,0.68,0.23,4,2,0.77788,0.67684,0.80657,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.5996), np.float64(0.6795)]"
0.45,0.68,0.23,5,2,0.77752,0.6774,0.8063,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6196), np.float64(0.6795)]"
0.4,0.61,0.21,3,3,0.77361,0.68333,0.80342,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.6096)]"
0.5,0.78,0.28,2,2,0.77357,0.68338,0.8034,"[np.float64(0.4996), np.float64(0.7795)]"
0.4,0.62,0.22,6,3,0.77248,0.68503,0.80259,"[np.float64(0.3996), np.float64(0.4396), np.float64(0.4896), np.float64(0.5296), np.float64(0.5796), np.float64(0.6196)]"
0.4,0.62,0.22,5,3,0.77,0.68874,0.80078,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5096), np.float64(0.5596), np.float64(0.6196)]"
0.4,0.7,0.3,3,2,0.76688,0.6934,0.79849,"[np.float64(0.3996), np.float64(0.5496), np.float64(0.6995)]"
0.4,0.67,0.27,2,2,0.76395,0.69774,0.79635,"[np.float64(0.3996), np.float64(0.6695)]"
0.45,0.65,0.2,2,2,0.76308,0.69904,0.79571,"[np.float64(0.4496), np.float64(0.6495)]"
0.4,0.62,0.22,4,3,0.7628,0.69944,0.79551,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5496), np.float64(0.6196)]"
0.4,0.7,0.3,4,2,0.76034,0.70307,0.79371,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5996), np.float64(0.6995)]"
0.45,0.67,0.22,6,2,0.75804,0.70643,0.79203,"[np.float64(0.4496), np.float64(0.4896), np.float64(0.5396), np.float64(0.5796), np.float64(0.6296), np.float64(0.6695)]"
0.45,0.8,0.35,3,2,0.75765,0.707,0.79175,"[np.float64(0.4496), np.float64(0.6296), np.float64(0.7994)]"
0.45,0.67,0.22,3,2,0.7572,0.70766,0.79141,"[np.float64(0.4496), np.float64(0.5596), np.float64(0.6695)]"
0.45,0.67,0.22,4,2,0.75707,0.70785,0.79132,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5996), np.float64(0.6695)]"
0.4,0.63,0.23,5,3,0.75562,0.70995,0.79027,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5696), np.float64(0.6296)]"
0.4,0.62,0.22,3,3,0.75191,0.71533,0.78756,"[np.float64(0.3996), np.float64(0.5096), np.float64(0.6196)]"
0.4,0.63,0.23,6,3,0.75186,0.7154,0.78752,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4896), np.float64(0.5396), np.float64(0.5796), np.float64(0.6296)]"
0.4,0.7,0.3,5,2,0.74944,0.71888,0.78576,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5496), np.float64(0.6196), np.float64(0.6995)]"
0.45,0.67,0.22,5,2,0.748,0.72093,0.78472,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5596), np.float64(0.6096), np.float64(0.6695)]"
0.4,0.7,0.3,6,2,0.74395,0.72671,0.78177,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5796), np.float64(0.6396), np.float64(0.6995)]"
0.4,0.64,0.24,5,3,0.74255,0.7287,0.78075,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5796), np.float64(0.6396)]"
0.4,0.64,0.24,6,3,0.74224,0.72912,0.78054,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4996), np.float64(0.5396), np.float64(0.5896), np.float64(0.6396)]"
0.45,0.65,0.2,6,4,0.73792,0.73522,0.7774,"[np.float64(0.4496), np.float64(0.4896), np.float64(0.5296), np.float64(0.5696), np.float64(0.6096), np.float64(0.6495)]"
0.4,0.63,0.23,4,3,0.7348,0.73958,0.77514,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5496), np.float64(0.6296)]"
0.45,0.66,0.21,6,2,0.73393,0.74079,0.77451,"[np.float64(0.4496), np.float64(0.4896), np.float64(0.5296), np.float64(0.5796), np.float64(0.6196), np.float64(0.6595)]"
0.45,0.66,0.21,5,2,0.73218,0.74323,0.77324,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.6096), np.float64(0.6595)]"
0.6,0.8,0.2,2,2,0.73171,0.74388,0.7729,"[np.float64(0.5996), np.float64(0.7994)]"
0.45,0.66,0.21,3,2,0.72987,0.74642,0.77157,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6595)]"
0.4,0.69,0.29,3,2,0.72958,0.74682,0.77137,"[np.float64(0.3996), np.float64(0.5396), np.float64(0.6895)]"
0.4,0.65,0.25,6,3,0.72492,0.75323,0.76799,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495)]"
0.4,0.65,0.25,5,3,0.72448,0.75383,0.76768,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5896), np.float64(0.6495)]"
0.55,0.79,0.24,2,1,0.72388,0.75465,0.76725,"[np.float64(0.5496), np.float64(0.7894)]"
0.45,0.66,0.21,4,2,0.72356,0.75508,0.76702,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6595)]"
0.4,0.63,0.23,3,3,0.72116,0.75836,0.76529,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6296)]"
0.4,0.66,0.26,2,2,0.72063,0.75908,0.7649,"[np.float64(0.3996), np.float64(0.6595)]"
0.4,0.64,0.24,4,3,0.72044,0.75933,0.76477,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6396)]"
0.4,0.69,0.29,5,2,0.72012,0.75977,0.76454,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6196), np.float64(0.6895)]"
0.4,0.69,0.29,4,2,0.71707,0.7639,0.76234,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5896), np.float64(0.6895)]"
0.4,0.66,0.26,5,3,0.70696,0.77743,0.75507,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5296), np.float64(0.5996), np.float64(0.6595)]"
0.4,0.66,0.26,6,3,0.70555,0.7793,0.75406,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6595)]"
0.4,0.69,0.29,6,2,0.70345,0.78208,0.75255,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5696), np.float64(0.6296), np.float64(0.6895)]"
0.4,0.8,0.4,3,2,0.70238,0.78348,0.75179,"[np.float64(0.3996), np.float64(0.5996), np.float64(0.7994)]"
0.4,0.65,0.25,4,3,0.70233,0.78355,0.75175,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5696), np.float64(0.6495)]"
0.45,0.65,0.2,5,2,0.70089,0.78544,0.75072,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495)]"
0.45,0.65,0.2,3,2,0.69704,0.79048,0.74796,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6495)]"
0.4,0.64,0.24,3,3,0.69348,0.7951,0.74542,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6396)]"
0.45,0.65,0.2,4,2,0.69059,0.79884,0.74335,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5796), np.float64(0.6495)]"
0.4,0.68,0.28,4,2,0.68963,0.80008,0.74266,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5896), np.float64(0.6795)]"
0.4,0.68,0.28,3,2,0.68358,0.80785,0.73834,"[np.float64(0.3996), np.float64(0.5396), np.float64(0.6795)]"
0.4,0.68,0.28,5,2,0.67662,0.81669,0.73338,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6096), np.float64(0.6795)]"
0.4,0.65,0.25,2,2,0.67623,0.81717,0.7331,"[np.float64(0.3996), np.float64(0.6495)]"
0.4,0.67,0.27,6,3,0.67609,0.81736,0.733,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.5096), np.float64(0.5596), np.float64(0.6196), np.float64(0.6695)]"
0.4,0.67,0.27,5,3,0.6705,0.82438,0.72902,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.5996), np.float64(0.6695)]"
0.4,0.68,0.28,6,2,0.66919,0.82601,0.72809,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5096), np.float64(0.5696), np.float64(0.6196), np.float64(0.6795)]"
0.45,0.79,0.34,2,2,0.66354,0.83303,0.72408,"[np.float64(0.4496), np.float64(0.7894)]"
0.5,0.79,0.29,2,2,0.66224,0.83464,0.72316,"[np.float64(0.4996), np.float64(0.7894)]"
0.4,0.65,0.25,3,3,0.65759,0.84037,0.71985,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6495)]"
0.4,0.66,0.26,4,3,0.65375,0.84507,0.71713,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5696), np.float64(0.6595)]"
0.4,0.78,0.38,2,2,0.65316,0.84579,0.71671,"[np.float64(0.3996), np.float64(0.7795)]"
0.4,0.67,0.27,4,2,0.64204,0.85924,0.70885,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5796), np.float64(0.6695)]"
0.4,0.67,0.27,3,2,0.63469,0.86802,0.70365,"[np.float64(0.3996), np.float64(0.5396), np.float64(0.6695)]"
0.4,0.64,0.24,2,2,0.63017,0.87336,0.70047,"[np.float64(0.3996), np.float64(0.6396)]"
0.4,0.66,0.26,3,3,0.61146,0.89519,0.68731,"[np.float64(0.3996), np.float64(0.5296), np.float64(0.6595)]"
0.4,0.63,0.23,2,2,0.58453,0.9257,0.66843,"[np.float64(0.3996), np.float64(0.6296)]"
0.55,0.8,0.25,2,2,0.58084,0.9298,0.66585,"[np.float64(0.5496), np.float64(0.7994)]"
0.4,0.62,0.22,2,2,0.53723,0.97697,0.63549,"[np.float64(0.3996), np.float64(0.6196)]"
0.4,0.61,0.21,2,2,0.49025,1.02536,0.60301,"[np.float64(0.3996), np.float64(0.6096)]"
0.5,0.8,0.3,2,2,0.47713,1.03847,0.59397,"[np.float64(0.4996), np.float64(0.7994)]"
0.45,0.8,0.35,2,2,0.44386,1.071,0.57111,"[np.float64(0.4496), np.float64(0.7994)]"
0.4,0.6,0.2,2,2,0.44093,1.07381,0.56911,"[np.float64(0.3996), np.float64(0.5996)]"
0.4,0.79,0.39,2,2,0.36845,1.1413,0.51962,"[np.float64(0.3996), np.float64(0.7894)]"
0.4,0.8,0.4,2,2,-0.07867,1.49156,0.26742,"[np.float64(0.3996), np.float64(0.7994)]"
