V_start,V_end,window_V,n_points,n_components,R2_LOO,RMSE_LOO,composite,V_selected
0.5,0.73,0.23,6,2,0.91156,0.42709,0.90897,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5896), np.float64(0.6396), np.float64(0.6795), np.float64(0.7295)]"
0.5,0.72,0.22,3,2,0.91127,0.42779,0.90874,"[np.float64(0.4996), np.float64(0.6096), np.float64(0.7195)]"
0.5,0.75,0.25,2,2,0.91106,0.4283,0.90857,"[np.float64(0.4996), np.float64(0.7495)]"
0.55,0.77,0.22,5,2,0.91082,0.42886,0.90837,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6595), np.float64(0.7095), np.float64(0.7695)]"
0.45,0.74,0.29,4,3,0.91062,0.42936,0.9082,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6396), np.float64(0.7395)]"
0.55,0.75,0.2,2,2,0.91023,0.43029,0.90789,"[np.float64(0.5496), np.float64(0.7495)]"
0.5,0.77,0.27,6,2,0.91005,0.43073,0.90774,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.6096), np.float64(0.6595), np.float64(0.7195), np.float64(0.7695)]"
0.5,0.76,0.26,4,2,0.9095,0.43203,0.9073,"[np.float64(0.4996), np.float64(0.5896), np.float64(0.6695), np.float64(0.7595)]"
0.5,0.72,0.22,4,2,0.90901,0.4332,0.9069,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6495), np.float64(0.7195)]"
0.4,0.76,0.36,4,3,0.90852,0.43436,0.9065,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6396), np.float64(0.7595)]"
0.4,0.77,0.37,5,3,0.90795,0.43572,0.90604,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5796), np.float64(0.6795), np.float64(0.7695)]"
0.45,0.74,0.29,3,3,0.90778,0.43612,0.9059,"[np.float64(0.4496), np.float64(0.5896), np.float64(0.7395)]"
0.5,0.72,0.22,5,2,0.90712,0.43768,0.90537,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6595), np.float64(0.7195)]"
0.5,0.77,0.27,5,2,0.90703,0.4379,0.90529,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.6995), np.float64(0.7695)]"
0.5,0.71,0.21,2,2,0.90694,0.43811,0.90522,"[np.float64(0.4996), np.float64(0.7095)]"
0.55,0.76,0.21,3,2,0.90665,0.43879,0.90499,"[np.float64(0.5496), np.float64(0.6495), np.float64(0.7595)]"
0.5,0.72,0.22,6,2,0.90587,0.44061,0.90436,"[np.float64(0.4996), np.float64(0.5396), np.float64(0.5896), np.float64(0.6296), np.float64(0.6795), np.float64(0.7195)]"
0.55,0.77,0.22,4,2,0.90574,0.44091,0.90425,"[np.float64(0.5496), np.float64(0.6196), np.float64(0.6995), np.float64(0.7695)]"
0.5,0.71,0.21,3,2,0.90461,0.44357,0.90334,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.7095)]"
0.55,0.78,0.23,6,2,0.90422,0.44446,0.90303,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6396), np.float64(0.6895), np.float64(0.7295), np.float64(0.7795)]"
0.45,0.74,0.29,5,3,0.90411,0.44472,0.90293,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6695), np.float64(0.7395)]"
0.55,0.8,0.25,6,3,0.90389,0.44522,0.90276,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495), np.float64(0.7994)]"
0.45,0.76,0.31,6,2,0.90347,0.4462,0.90242,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6396), np.float64(0.6995), np.float64(0.7595)]"
0.6,0.8,0.2,6,2,0.90294,0.44741,0.902,"[np.float64(0.5996), np.float64(0.6396), np.float64(0.6795), np.float64(0.7195), np.float64(0.7595), np.float64(0.7994)]"
0.55,0.8,0.25,5,3,0.90248,0.44848,0.90162,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6695), np.float64(0.7395), np.float64(0.7994)]"
0.45,0.71,0.26,2,2,0.90216,0.44922,0.90136,"[np.float64(0.4496), np.float64(0.7095)]"
0.55,0.79,0.24,6,3,0.90215,0.44923,0.90136,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6895), np.float64(0.7395), np.float64(0.7894)]"
0.5,0.71,0.21,4,2,0.90181,0.45002,0.90108,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.7095)]"
0.5,0.76,0.26,3,2,0.90161,0.45048,0.90092,"[np.float64(0.4996), np.float64(0.6296), np.float64(0.7595)]"
0.4,0.74,0.34,5,3,0.90122,0.45136,0.90061,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5696), np.float64(0.6595), np.float64(0.7395)]"
0.6,0.8,0.2,5,3,0.90076,0.45243,0.90024,"[np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495), np.float64(0.7994)]"
0.45,0.75,0.3,6,2,0.90051,0.453,0.90004,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6296), np.float64(0.6895), np.float64(0.7495)]"
0.5,0.71,0.21,5,2,0.90047,0.45309,0.90001,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6595), np.float64(0.7095)]"
0.45,0.74,0.29,6,3,0.90038,0.45328,0.89994,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6196), np.float64(0.6795), np.float64(0.7395)]"
0.55,0.79,0.24,5,3,0.90007,0.45398,0.89969,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6695), np.float64(0.7295), np.float64(0.7894)]"
0.55,0.78,0.23,5,2,0.89994,0.45428,0.89958,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6695), np.float64(0.7195), np.float64(0.7795)]"
0.45,0.77,0.32,6,2,0.8996,0.45505,0.89931,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5796), np.float64(0.6396), np.float64(0.7095), np.float64(0.7695)]"
0.45,0.75,0.3,3,2,0.89952,0.45525,0.89924,"[np.float64(0.4496), np.float64(0.5996), np.float64(0.7495)]"
0.4,0.71,0.31,2,2,0.89941,0.45547,0.89916,"[np.float64(0.3996), np.float64(0.7095)]"
0.5,0.7,0.2,2,2,0.89934,0.45563,0.89911,"[np.float64(0.4996), np.float64(0.6995)]"
0.55,0.8,0.25,4,3,0.89926,0.45582,0.89904,"[np.float64(0.5496), np.float64(0.6296), np.float64(0.7195), np.float64(0.7994)]"
0.45,0.76,0.31,5,2,0.89916,0.45604,0.89896,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6096), np.float64(0.6795), np.float64(0.7595)]"
0.4,0.74,0.34,6,3,0.89907,0.45626,0.89889,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.5996), np.float64(0.6695), np.float64(0.7395)]"
0.5,0.71,0.21,6,2,0.89897,0.45649,0.8988,"[np.float64(0.4996), np.float64(0.5396), np.float64(0.5796), np.float64(0.6296), np.float64(0.6695), np.float64(0.7095)]"
0.6,0.8,0.2,4,3,0.89888,0.45669,0.89873,"[np.float64(0.5996), np.float64(0.6695), np.float64(0.7295), np.float64(0.7994)]"
0.5,0.77,0.27,4,2,0.89871,0.45706,0.8986,"[np.float64(0.4996), np.float64(0.5896), np.float64(0.6795), np.float64(0.7695)]"
0.45,0.75,0.3,4,2,0.89852,0.45749,0.89845,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6495), np.float64(0.7495)]"
0.4,0.77,0.37,4,3,0.89794,0.45879,0.89798,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6495), np.float64(0.7695)]"
0.55,0.79,0.24,4,3,0.89788,0.45895,0.89793,"[np.float64(0.5496), np.float64(0.6296), np.float64(0.7095), np.float64(0.7894)]"
0.6,0.8,0.2,3,3,0.89781,0.45908,0.89788,"[np.float64(0.5996), np.float64(0.6995), np.float64(0.7994)]"
0.5,0.78,0.28,6,2,0.89757,0.45964,0.89768,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6695), np.float64(0.7195), np.float64(0.7795)]"
0.45,0.76,0.31,4,2,0.89748,0.45983,0.89761,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6595), np.float64(0.7595)]"
0.45,0.75,0.3,5,2,0.89703,0.46085,0.89725,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.5996), np.float64(0.6695), np.float64(0.7495)]"
0.5,0.7,0.2,3,2,0.8964,0.46225,0.89675,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.6995)]"
0.55,0.78,0.23,4,3,0.89639,0.46227,0.89674,"[np.float64(0.5496), np.float64(0.6296), np.float64(0.6995), np.float64(0.7795)]"
